Id,Label,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Cluster,KatzCentrality,eigencentrality,Authority,Hub
Wajdi Zaghouani,Wajdi Zaghouani,0,28,0,1,2,13,0.149166,0.215544,0,2,0,0.032071,0,0
Chengkai Li,Chengkai Li,0,28,0,1,2,13,0.149166,0.215544,0,2,0,0.032071,0,0
Hamdy Mubarak,Hamdy Mubarak,0,28,0,1,2,13,0.149166,0.215544,0,2,0,0.032071,0,0
Michael Wiegand,Michael Wiegand,0,28,0,1,1,13,0.149166,0.215544,0,2,0,0.032071,0,0
Melanie Siegel,Melanie Siegel,0,28,0,1,1,13,0.149166,0.215544,0,2,0,0.032071,0,0
Juliane Köhler,Juliane Köhler,0,28,0,1,1,13,0.149166,0.215544,0,2,0,0.032071,0,0
Javier Beltrán,Javier Beltrán,0,28,0,1,1,13,0.149166,0.215544,0,2,0,0.032071,0,0
Andrea Galassi,Andrea Galassi,0,12,0,1,1,14,0.13183,0.183525,0,2,0,0.016982,0,0
Federico Ruggeri,Federico Ruggeri,0,12,0,1,1,14,0.13183,0.183525,0,2,0,0.016982,0,0
Rabindra Nath Nandi,Rabindra Nath Nandi,0,12,0,1,1,14,0.13183,0.183525,0,2,0,0.016982,0,0
Gullal S. Cheema,Gullal S. Cheema,0,12,0,1,1,14,0.13183,0.183525,0,2,0,0.016982,0,0
Dilshod Azizov,Dilshod Azizov,0,12,0,1,1,14,0.13183,0.183525,0,2,0,0.016982,0,0
Gerhard Weikum,Gerhard Weikum,0.00333,0.031215,0.000104,9,12,11,0.203791,0.326612,0.00333,3,0,0.043984,0,0
Simon Razniewski,Simon Razniewski,0.00029,0.047945,0.000014,6,6,13,0.154122,0.248659,0.00029,3,0,0.025124,0,0
Priyanka Das,Priyanka Das,0,6,0,1,1,14,0.133748,0.183896,0,3,0,0.006411,0,0
Julien Romero,Julien Romero,0,6,0,1,1,14,0.133748,0.183896,0,3,0,0.006411,0,0
Dhruv Gupta,Dhruv Gupta,0,2,0,1,1,14,0.1317,0.170718,0,3,0,0.003115,0,0
Klaus Berberich,Klaus Berberich,0.00013,0.4375,0.000057,2,2,13,0.151408,0.214745,0.00013,3,0,0.009383,0,0
Zhen Jia,Zhen Jia,0.000689,0.428571,0.000295,3,3,10,0.205742,0.273265,0.000689,3,0,0.020004,0,0
Soumajit Pramanik,Soumajit Pramanik,0.000001,0.857143,0,2,2,11,0.172,0.217697,0.000001,3,0,0.01055,0,0
Rishiraj Saha Roy,Rishiraj Saha Roy,0.002842,0.074074,0.000211,5,6,9,0.209246,0.285179,0.002842,3,0,0.029477,0,0
Hiba Arnaout,Hiba Arnaout,0.000212,0.26087,0.000055,3,3,12,0.172345,0.249802,0.000212,3,0,0.018331,0,0
Jeff Z. Pan,Jeff Z. Pan,0,3,0,1,1,13,0.14726,0.191295,0,3,0,0.004675,0,0
Azin Ghazimatin,Azin Ghazimatin,0.000749,0.195652,0.000147,4,4,10,0.206235,0.279079,0.000749,3,0,0.023535,0,0
Vinh Thinh Ho,Vinh Thinh Ho,0.001074,0.033395,0.000036,7,8,12,0.17732,0.288175,0.001074,3,0,0.030207,0,0
Koninika Pal,Koninika Pal,0,7,0,1,1,13,0.150877,0.206993,0,3,0,0.007485,0,0
Tuan-Phong Nguyen,Tuan-Phong Nguyen,0.000082,1.8,0.000147,2,2,12,0.171657,0.24205,0.000082,3,0,0.016229,0,0
Daria Stepanova,Daria Stepanova,0,7,0,1,1,13,0.150877,0.206993,0,3,0,0.007485,0,0
Dragan Milchevski,Dragan Milchevski,0,7,0,1,1,13,0.150877,0.206993,0,3,0,0.007485,0,0
Jannik Strötgen,Jannik Strötgen,0.000257,0.777778,0.0002,2,2,13,0.151943,0.217652,0.000257,3,0,0.009954,0,0
Magdalena Kaiser,Magdalena Kaiser,0.000626,1.8,0.001127,2,4,10,0.204762,0.265513,0.000626,3,0,0.0168,0,0
Khanh Hiep Tran,Khanh Hiep Tran,0,1.2,0,2,2,10,0.188596,0.237994,0,3,0,0.012646,0,0
Shrestha Ghosh,Shrestha Ghosh,0.000082,1.8,0.000147,2,2,12,0.171657,0.24205,0.000082,3,0,0.016229,0,0
Philipp Christmann,Philipp Christmann,0.000626,1.8,0.001127,2,2,10,0.204762,0.265513,0.000626,3,0,0.0168,0,0
